Nested Sampling Global Log-Evidence           :   -0.798246423981290842E+01  +/-    0.951128818978086155E-01
Nested Importance Sampling Global Log-Evidence:   -0.811613980213870612E+01  +/-    0.178755306765345678E+00

Dim No.       Mean        Sigma
   1    0.332282865244074133E+00    0.781459353194628031E-01
   2   -0.985093685985607204E+00    0.271112586168354153E+00
   3   -0.420215100500184013E+00    0.135999412646536122E+01
   4    0.700824750657884863E+02    0.921601329140507075E+00
   5    0.477562789759665266E-14    0.285035521765722206E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.309021462727735952E+00
   2   -0.942348636408868456E+00
   3   -0.455499987597201006E-01
   4    0.700553953665448716E+02
   5    0.624626799065934887E-14

MAP Parameters
Dim No.        Parameter
   1    0.309021462727735952E+00
   2   -0.942348636408868456E+00
   3   -0.455499987597201006E-01
   4    0.700553953665448716E+02
   5    0.624626799065934887E-14
