    0.301525719039825280E+00   -0.431409248049127170E-01    0.713819822226870997E+02    0.915903470562871740E-14   -0.781380188044838508E+01
    0.303985191255389642E+00    0.152713558346518896E+00    0.691699333931585443E+02    0.556911028219582690E-14   -0.780663653762402365E+01
    0.284839859845407550E+00    0.238321348949098288E+00    0.690254548775032504E+02    0.950094458496017523E-14   -0.772554894366751022E+01
    0.294425692302196840E+00    0.185035906407696737E+00    0.691357120815138444E+02    0.600154580364041542E-14   -0.761937058669936107E+01
    0.307740735207196636E+00   -0.657510875008928686E-01    0.714214633407027009E+02    0.597524026308588620E-14   -0.720646531187629602E+01
    0.301035427876331585E+00    0.108333803972536113E+00    0.700198555320020688E+02    0.800126307999421806E-14   -0.718548619279967671E+01
    0.276952133034130021E+00    0.191720538754451830E+00    0.697652656887084248E+02    0.474246500564685020E-14   -0.711431201437765282E+01
    0.289017972540060064E+00    0.235364148494953795E+00    0.689088123154783716E+02    0.794244055153953112E-14   -0.671063840578580972E+01
    0.303328356525205400E+00    0.153113065304966156E-03    0.710193279815501910E+02    0.912909458115175129E-14   -0.655419972454068844E+01
    0.299264897604659574E+00    0.201331140321344471E+00    0.688523389784222104E+02    0.793373851684055812E-14   -0.638683989126608065E+01
    0.309379641262669647E+00   -0.175873697652694228E-01    0.707510595051436297E+02    0.275941341968745428E-14   -0.631532329014354588E+01
    0.283672303257397229E+00    0.238767844997049838E+00    0.689996024959499721E+02    0.550203298763819013E-14   -0.629069689242211538E+01
    0.292246182508115626E+00    0.849058375188533887E-01    0.703374697401606426E+02    0.948265525025236194E-15   -0.623648418429210505E+01
    0.312954884492122942E+00   -0.754121924622597195E-02    0.705113601318624461E+02    0.897542469956861078E-15   -0.619430396476764766E+01
    0.313019377127201737E+00   -0.161327319858750595E-01    0.705983324617135679E+02    0.309902583866138208E-14   -0.615973414344144654E+01
    0.301325339042023521E+00    0.925814271971074909E-01    0.698962358100400962E+02    0.822587193015383866E-15   -0.599606966435676636E+01
    0.311000932460481605E+00   -0.529182181840646138E-01    0.710841240816241111E+02    0.635651508009150816E-14   -0.594228716393824108E+01
    0.281818608559424755E+00    0.146882054398124184E+00    0.701841324654337200E+02    0.747388798934988160E-14   -0.594185163603977706E+01
    0.304119997086694238E+00   -0.227716985864229171E-01    0.711832892867529665E+02    0.432620268044887554E-14   -0.592891701695300810E+01
    0.289832144951931436E+00    0.195889833371571509E+00    0.693860167893489290E+02    0.118084663274311792E-14   -0.584949879521063121E+01
