Nested Sampling Global Log-Evidence           :   -0.859649071669218223E+01  +/-    0.134149067478033124E+00
Nested Importance Sampling Global Log-Evidence:   -0.855538449219626074E+01  +/-    0.274535082191137481E+00

Dim No.       Mean        Sigma
   1    0.310395102073888485E+00    0.733300673491717458E-01
   2    0.388086725210074410E-01    0.202867346603980508E+00
   3    0.700138581267873832E+02    0.177138075245080406E+00
   4    0.488376386883693385E-14    0.284590381002895126E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.293048136154615113E+00
   2    0.118637852246612496E+00
   3    0.699742794561119297E+02
   4    0.185796682054330968E-14

MAP Parameters
Dim No.        Parameter
   1    0.293048136154615113E+00
   2    0.118637852246612496E+00
   3    0.699742794561119297E+02
   4    0.185796682054330968E-14
