    0.949045836925506592E+00    0.195847511291503906E+00    0.991652011871337891E+02    0.663202583789825423E-14   -0.180188678636397926E+05   -0.599146350544150419E+01    1
    0.871999561786651611E+00    0.335221648216247559E+00    0.989750683307647705E+02    0.478906929492950469E-14   -0.172497695445327518E+05   -0.599396350544151169E+01    1
    0.973570048809051514E+00   -0.557165145874023438E-01    0.975132048130035400E+02    0.147588253021240235E-14   -0.168035754278404347E+05   -0.599646350544151474E+01    1
    0.994565725326538086E+00    0.350934863090515137E+00    0.963881462812423706E+02    0.904492914676666207E-14   -0.160620291832312723E+05   -0.599896350544151957E+01    1
    0.833206415176391602E+00   -0.220448136329650879E+00    0.981215864419937134E+02    0.971996903419494558E-14   -0.160595062480548186E+05   -0.600146350544151552E+01    1
    0.837273061275482178E+00    0.580339074134826660E+00    0.975176215171813965E+02    0.772814214229583668E-14   -0.158281809961267791E+05   -0.600396350544151858E+01    1
    0.729126989841461182E+00    0.625025510787963867E+00    0.981927990913391113E+02    0.695821344852447521E-14   -0.157564723469560067E+05   -0.600646350544151630E+01    1
    0.713607311248779297E+00    0.313680291175842285E+00    0.983633399009704590E+02    0.982402622699737481E-14   -0.156325872258955606E+05   -0.600896350544152469E+01    1
    0.461602926254272461E+00    0.945764899253845215E+00    0.984890758991241455E+02    0.690301954746246322E-14   -0.153077132557338919E+05   -0.601146350544151886E+01    1
    0.147804439067840576E+00   -0.926548719406127930E+00    0.504676073789596558E+02    0.159046173095703116E-14   -0.152986454616669052E+05   -0.601396350544150859E+01    1
    0.312011599540710449E+00    0.558402776718139648E+00    0.993795067071914673E+02    0.567229032516479507E-14   -0.152458180132668094E+05   -0.601646350544151520E+01    1
    0.845318078994750977E+00   -0.131223201751708984E-01    0.966154664754867554E+02    0.269784271717071524E-14   -0.149592131670776616E+05   -0.601896350544151559E+01    1
    0.175996422767639160E-01   -0.765082120895385742E+00    0.515855729579925537E+02    0.333320438861846928E-14   -0.149558533561601380E+05   -0.602146350544152753E+01    1
    0.862693428993225098E+00    0.681830167770385742E+00    0.960640460252761841E+02    0.611850380897521962E-14   -0.148217573992661073E+05   -0.602396350544153325E+01    1
    0.917307019233703613E+00   -0.877455234527587891E+00    0.956781625747680664E+02    0.837684631347656316E-14   -0.146737547776166521E+05   -0.602646350544152298E+01    1
    0.117306709289550781E-01    0.556877017021179199E+00    0.984049141407012939E+02    0.868741810321807899E-14   -0.145108251901705771E+05   -0.602896350544150561E+01    1
    0.715975463390350342E+00    0.396341204643249512E+00    0.969486355781555176E+02    0.240273296833038315E-14   -0.145093738423894556E+05   -0.603146350544150955E+01    1
    0.568465888500213623E+00    0.945597767829895020E+00    0.965340256690979004E+02    0.161665916442871095E-14   -0.139246632599861732E+05   -0.603396350544152682E+01    1
    0.249002397060394287E+00   -0.330868840217590332E+00    0.993433475494384766E+02    0.845893025398254429E-15   -0.137435994298713867E+05   -0.603646350544153165E+01    1
